127.0.0.1 - - [28/May/2017:12:56:48 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:57 +0530] "GET /project1/ HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 74785
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [28/May/2017:12:56:58 +0530] "GET /project1/resources/images/cy6.jpg HTTP/1.1" 200 62686
0:0:0:0:0:0:0:1 - - [28/May/2017:12:57:12 +0530] "GET /project1/aboutus HTTP/1.1" 200 6941
0:0:0:0:0:0:0:1 - - [28/May/2017:12:57:12 +0530] "GET /project1/resources/css/background.css HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [28/May/2017:12:57:12 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:12:57:12 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:12:57:12 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
