127.0.0.1 - - [16/Jun/2017:13:33:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:09 +0530] "GET /project1/ HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:10 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:52:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:58:23 +0530] "GET /project1/login HTTP/1.1" 200 4645
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:58:24 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:58:24 +0530] "GET /project1/resources/css/border.css HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [16/Jun/2017:13:58:24 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
